sample	contig	taxid	name
SRR6145058	k99_3751	1747	Cutibacterium acnes
SRR6145058	k99_10948	1747	Cutibacterium acnes
SRR6145058	k99_9615	1747	Cutibacterium acnes
SRR6145058	k99_5588	1747	Cutibacterium acnes
SRR6145058	k99_10305	1747	Cutibacterium acnes
SRR6145058	k99_2756	9606	Homo sapiens
SRR6145058	k99_10488	1747	Cutibacterium acnes
SRR6145058	k99_5017	1881017	Pseudomonas sp. 7SR1
SRR6145058	k99_9878	1747	Cutibacterium acnes
SRR6145058	k99_11921	1747	Cutibacterium acnes
SRR6145058	k99_4817	9606	Homo sapiens
SRR6145058	k99_6654	1747	Cutibacterium acnes
SRR6145058	k99_8232	1747	Cutibacterium acnes
SRR6145058	k99_1320	1747	Cutibacterium acnes
SRR6145058	k99_8984	1234380	Cutibacterium acnes C1
SRR6145058	k99_6781	1747	Cutibacterium acnes
SRR6145058	k99_3045	1747	Cutibacterium acnes
SRR6145058	k99_6153	1747	Cutibacterium acnes
SRR6145058	k99_1231	1747	Cutibacterium acnes
SRR6145058	k99_668	1747	Cutibacterium acnes
SRR6145058	k99_4509	1747	Cutibacterium acnes
SRR6145058	k99_10126	1747	Cutibacterium acnes
SRR6145058	k99_9160	1747	Cutibacterium acnes
SRR6145058	k99_926	1747	Cutibacterium acnes
SRR6145058	k99_9057	1747	Cutibacterium acnes
SRR6145058	k99_2372	1747	Cutibacterium acnes
SRR6145058	k99_671	1747	Cutibacterium acnes
SRR6145058	k99_2176	1234380	Cutibacterium acnes C1
SRR6145058	k99_1753	1747	Cutibacterium acnes
SRR6145058	k99_6534	1747	Cutibacterium acnes
SRR6145058	k99_11922	1747	Cutibacterium acnes
SRR6145058	k99_7853	1747	Cutibacterium acnes
SRR6145058	k99_8101	1747	Cutibacterium acnes
SRR6145058	k99_2246	1747	Cutibacterium acnes
SRR6145058	k99_4574	1747	Cutibacterium acnes
SRR6145058	k99_9489	1234380	Cutibacterium acnes C1
SRR6145058	k99_4903	1747	Cutibacterium acnes
SRR6145058	k99_5345	1747	Cutibacterium acnes
SRR6145058	k99_3245	1747	Cutibacterium acnes
SRR6145058	k99_11992	1747	Cutibacterium acnes
SRR6145058	k99_8355	1747	Cutibacterium acnes
SRR6145058	k99_7930	1747	Cutibacterium acnes
SRR6145058	k99_2441	1747	Cutibacterium acnes
SRR6145058	k99_1190	1747	Cutibacterium acnes
SRR6145058	k99_2177	9606	Homo sapiens
SRR6145058	k99_5516	1747	Cutibacterium acnes
SRR6145058	k99_11441	1747	Cutibacterium acnes
SRR6145058	k99_8040	1747	Cutibacterium acnes
SRR6145058	k99_4009	1114969	Cutibacterium acnes TypeIA2 P.acn31
SRR6145058	k99_11805	1747	Cutibacterium acnes
SRR6145058	k99_10437	1747	Cutibacterium acnes
SRR6145058	k99_3756	1747	Cutibacterium acnes
SRR6145058	k99_10884	1747	Cutibacterium acnes
SRR6145058	k99_3452	1747	Cutibacterium acnes
SRR6145058	k99_7674	1747	Cutibacterium acnes
SRR6145058	k99_10772	1747	Cutibacterium acnes
SRR6145058	k99_5209	1747	Cutibacterium acnes
SRR6145058	k99_2826	1747	Cutibacterium acnes
SRR6145058	k99_7154	1234380	Cutibacterium acnes C1
SRR6145058	k99_5969	1747	Cutibacterium acnes
SRR6145058	k99_988	1234380	Cutibacterium acnes C1
SRR6145058	k99_10571	1747	Cutibacterium acnes
SRR6145058	k99_9693	1747	Cutibacterium acnes
SRR6145058	k99_674	1747	Cutibacterium acnes
SRR6145058	k99_7679	1747	Cutibacterium acnes
SRR6145058	k99_11994	1747	Cutibacterium acnes
SRR6145058	k99_2871	1747	Cutibacterium acnes
SRR6145058	k99_7937	1747	Cutibacterium acnes
SRR6145058	k99_9938	1234380	Cutibacterium acnes C1
SRR6145058	k99_7155	1747	Cutibacterium acnes
SRR6145058	k99_1191	1747	Cutibacterium acnes
SRR6145058	k99_4201	1747	Cutibacterium acnes
SRR6145058	k99_2693	1747	Cutibacterium acnes
SRR6145058	k99_10493	1747	Cutibacterium acnes
SRR6145058	k99_5078	1747	Cutibacterium acnes
SRR6145058	k99_8992	1747	Cutibacterium acnes
SRR6145058	k99_9549	1747	Cutibacterium acnes
SRR6145058	k99_3639	1747	Cutibacterium acnes
SRR6145058	k99_2566	1747	Cutibacterium acnes
SRR6145058	k99_7479	1747	Cutibacterium acnes
SRR6145058	k99_1195	1747	Cutibacterium acnes
SRR6145058	k99_3328	1747	Cutibacterium acnes
SRR6145058	k99_5467	1747	Cutibacterium acnes
SRR6145058	k99_7216	1747	Cutibacterium acnes
SRR6145058	k99_10364	1747	Cutibacterium acnes
SRR6145058	k99_7217	1747	Cutibacterium acnes
SRR6145058	k99_6786	1747	Cutibacterium acnes
SRR6145058	k99_3454	1747	Cutibacterium acnes
SRR6145058	k99_7293	1747	Cutibacterium acnes
SRR6145058	k99_9110	1747	Cutibacterium acnes
SRR6145058	k99_4707	1747	Cutibacterium acnes
SRR6145058	k99_6979	1747	Cutibacterium acnes
SRR6145058	k99_10573	1747	Cutibacterium acnes
SRR6145058	k99_11122	1747	Cutibacterium acnes
SRR6145058	k99_3455	1747	Cutibacterium acnes
SRR6145058	k99_8428	9606	Homo sapiens
SRR6145058	k99_7355	1747	Cutibacterium acnes
SRR6145058	k99_3456	1747	Cutibacterium acnes
SRR6145058	k99_9884	1747	Cutibacterium acnes
SRR6145058	k99_1558	1234380	Cutibacterium acnes C1
SRR6145058	k99_9235	1747	Cutibacterium acnes
SRR6145058	k99_553	1747	Cutibacterium acnes
SRR6145058	k99_7357	1747	Cutibacterium acnes
SRR6145058	k99_4447	1747	Cutibacterium acnes
SRR6145058	k99_10885	1747	Cutibacterium acnes
SRR6145058	k99_12002	1747	Cutibacterium acnes
SRR6145058	k99_3018	1747	Cutibacterium acnes
SRR6145058	k99_9494	1747	Cutibacterium acnes
SRR6145058	k99_3762	1747	Cutibacterium acnes
SRR6145058	k99_11684	1747	Cutibacterium acnes
SRR6145058	k99_9381	1747	Cutibacterium acnes
SRR6145058	k99_6012	1747	Cutibacterium acnes
SRR6145058	k99_8107	1234380	Cutibacterium acnes C1
SRR6145058	k99_8170	1747	Cutibacterium acnes
SRR6145058	k99_1619	9606	Homo sapiens
SRR6145058	k99_6098	1747	Cutibacterium acnes
SRR6145058	k99_1494	1747	Cutibacterium acnes
SRR6145058	k99_558	9606	Homo sapiens
SRR6145058	k99_10077	1234380	Cutibacterium acnes C1
SRR6145058	k99_5472	1747	Cutibacterium acnes
SRR6145058	k99_3873	1747	Cutibacterium acnes
SRR6145058	k99_11687	1747	Cutibacterium acnes
SRR6145058	k99_1941	1747	Cutibacterium acnes
SRR6145058	k99_2642	1747	Cutibacterium acnes
SRR6145058	k99_3516	1747	Cutibacterium acnes
SRR6145058	k99_3874	1747	Cutibacterium acnes
SRR6145058	k99_6401	1234380	Cutibacterium acnes C1
SRR6145058	k99_435	1747	Cutibacterium acnes
SRR6145058	k99_4709	1234380	Cutibacterium acnes C1
SRR6145058	k99_6911	1234380	Cutibacterium acnes C1
SRR6145058	k99_7295	1747	Cutibacterium acnes
SRR6145058	k99_5352	1747	Cutibacterium acnes
SRR6145058	k99_607	1747	Cutibacterium acnes
SRR6145058	k99_5214	1747	Cutibacterium acnes
SRR6145058	k99_11558	1747	Cutibacterium acnes
SRR6145058	k99_11748	1747	Cutibacterium acnes
SRR6145058	k99_10199	9606	Homo sapiens
SRR6145058	k99_8881	1747	Cutibacterium acnes
SRR6145058	k99_8433	1747	Cutibacterium acnes
SRR6145058	k99_11192	1747	Cutibacterium acnes
SRR6145058	k99_10078	1234380	Cutibacterium acnes C1
SRR6145058	k99_6980	1747	Cutibacterium acnes
SRR6145058	k99_1070	1747	Cutibacterium acnes
SRR6145058	k99_7609	9606	Homo sapiens
SRR6145058	k99_4015	1747	Cutibacterium acnes
SRR6145058	k99_9889	1747	Cutibacterium acnes
SRR6145058	k99_9114	1747	Cutibacterium acnes
