sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Thermomicrobiaceae	189777	F	11	0	11	0.00000
SRR6145059	Thermoguttaceae	2691358	F	10	0	10	0.00000
SRR6145059	Thermofilaceae	114378	F	6	0	6	0.00000
SRR6145059	Thermodesulfobiaceae	227387	F	6	0	6	0.00000
SRR6145059	Thermodesulfobacteriaceae	188711	F	12	0	12	0.00000
SRR6145059	Thermoanaerobacterales Family IV. Incertae Sedis	543372	F	4	3	7	0.00000
SRR6145059	Thermoanaerobacterales Family III. Incertae Sedis	543371	F	52	0	52	0.00001
SRR6145059	Tepidiformaceae	2682227	F	39	0	39	0.00000
SRR6145059	Syntrophomonadaceae	68298	F	6	0	6	0.00000
SRR6145059	Syntrophobacteraceae	213465	F	27	1	28	0.00000
SRR6145059	Syntrophaceae	213468	F	16	0	16	0.00000
SRR6145059	Symbiobacteriaceae	543349	F	30	0	30	0.00000
SRR6145059	Sutterellaceae	995019	F	37	0	37	0.00000
SRR6145059	Succinivibrionaceae	83763	F	7	0	7	0.00000
SRR6145059	Sporomusaceae	1843490	F	24	0	24	0.00000
SRR6145059	Sporolactobacillaceae	186821	F	9	0	9	0.00000
SRR6145059	Spongiibacteraceae	1706375	F	29	0	29	0.00000
SRR6145059	Simkaniaceae	92712	F	4	0	4	0.00000
SRR6145059	Silvanigrellaceae	2024974	F	6	6	12	0.00000
SRR6145059	Sedimentisphaeraceae	2483367	F	10	1	11	0.00000
SRR6145059	Saprospiraceae	89374	F	5	0	5	0.00000
SRR6145059	Salinivirgaceae	1970190	F	10	0	10	0.00000
SRR6145059	Saccharospirillaceae	255527	F	29	0	29	0.00000
SRR6145059	Rudiviridae	157897	F	1	-1	0	0.00000
SRR6145059	Roseiflexaceae	1508635	F	40	1	41	0.00000
SRR6145059	Rivulariaceae	1185	F	17	9	26	0.00000
SRR6145059	Rhabdoviridae	11270	F	8	0	8	0.00000
SRR6145059	Retroviridae	11632	F	8	-1	7	0.00000
SRR6145059	Pyrodictiaceae	2307	F	4	0	4	0.00000
SRR6145059	Puniceicoccaceae	415002	F	10	0	10	0.00000
SRR6145059	Psychromonadaceae	267894	F	18	0	18	0.00000
SRR6145059	Pseudanabaenaceae	1890436	F	21	0	21	0.00000
SRR6145059	Prochlorotrichaceae	2303730	F	9	0	9	0.00000
SRR6145059	Prochloraceae	1213	F	34	0	34	0.00000
SRR6145059	Poxviridae	10240	F	12	0	12	0.00000
SRR6145059	Potyviridae	39729	F	2	0	2	0.00000
SRR6145059	Polyomaviridae	151341	F	17	0	17	0.00000
SRR6145059	Pleolipoviridae	1911603	F	2	0	2	0.00000
SRR6145059	Picrophilaceae	46630	F	2	1	3	0.00000
SRR6145059	Picornaviridae	12058	F	1	0	1	0.00000
SRR6145059	Phycodnaviridae	10501	F	15	0	15	0.00000
SRR6145059	Phenuiviridae	1980418	F	1	0	1	0.00000
SRR6145059	Petrotogaceae	1643949	F	13	0	13	0.00000
SRR6145059	Parvularculaceae	255474	F	16	0	16	0.00000
SRR6145059	Parachlamydiaceae	92713	F	12	0	12	0.00000
SRR6145059	Paludibacteraceae	2005523	F	7	0	7	0.00000
SRR6145059	Oscillospiraceae	216572	F	29	3	32	0.00000
SRR6145059	Oscillatoriaceae	1892254	F	30	0	30	0.00000
SRR6145059	Orbaceae	1240483	F	15	0	15	0.00000
SRR6145059	Oleiphilaceae	191033	F	11	0	11	0.00000
SRR6145059	Oculatellaceae	2303507	F	13	2	15	0.00000
SRR6145059	Nitrososphaeraceae	1033997	F	13	18	31	0.00000
SRR6145059	Nitrosopumilaceae	338190	F	17	0	17	0.00000
